                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.50621,                0.43352,                0.86924,                0.81312,                0.96977,                      1,                  0.995,                 0.8955,                0.96977,                      1,                  0.995,                0.75604,                0.64032,                 1.5312,                 1.7834,                0.88104,              0.0012404,              0.0012404,              0.0012404
                     89,                 0.4753,                0.52299,                0.77977,                0.88182,                0.96977,                      1,                  0.995,                 0.8955,                0.96977,                      1,                  0.995,                0.75604,                0.64032,                 1.5312,                 1.7834,                0.88104,              0.0012489,              0.0012489,              0.0012489
                     90,                0.73122,                 2.0779,                 1.0781,                 1.0143,                0.96977,                      1,                  0.995,                 0.8955,                0.96977,                      1,                  0.995,                0.75604,                0.64032,                 1.5312,                 1.7834,                0.88104,              0.0012572,              0.0012572,              0.0012572
                     91,                0.54845,                0.39121,                0.79667,                0.93326,                0.96977,                      1,                  0.995,                 0.8955,                0.96977,                      1,                  0.995,                0.75604,                0.64032,                 1.5312,                 1.7834,                0.88104,              0.0012654,              0.0012654,              0.0012654
                     92,                0.54557,                0.38486,                0.74131,                0.90648,                0.98835,                      1,                  0.995,                0.85554,                0.98835,                      1,                  0.995,                0.85554,                 0.8438,                  1.218,                 1.5739,                0.98318,              0.0012735,              0.0012735,              0.0012735
                     93,                0.51616,                0.61531,                0.79785,                0.97135,                0.98835,                      1,                  0.995,                0.85554,                0.98835,                      1,                  0.995,                0.85554,                 0.8438,                  1.218,                 1.5739,                0.98318,              0.0012814,              0.0012814,              0.0012814
                     94,                0.63114,                0.42728,                 1.0598,                 1.0264,                0.98835,                      1,                  0.995,                0.85554,                0.98835,                      1,                  0.995,                0.85554,                 0.8438,                  1.218,                 1.5739,                0.98318,              0.0012892,              0.0012892,              0.0012892
                     95,                0.54046,                0.44201,                   0.79,                0.84162,                0.98835,                      1,                  0.995,                0.85554,                0.98835,                      1,                  0.995,                0.85554,                 0.8438,                  1.218,                 1.5739,                0.98318,              0.0012968,              0.0012968,              0.0012968
                     96,                 0.4445,                0.28738,                0.70451,                0.89216,                0.98848,                      1,                  0.995,                0.59708,                0.98848,                      1,                  0.995,                0.76803,                 1.6124,                 1.0263,                 1.4728,                 1.6031,              0.0013044,              0.0013044,              0.0013044
                     97,                0.67366,                0.50062,                0.71956,                0.83559,                0.98848,                      1,                  0.995,                0.59708,                0.98848,                      1,                  0.995,                0.76803,                 1.6124,                 1.0263,                 1.4728,                 1.6031,              0.0013117,              0.0013117,              0.0013117
                     98,                 0.3749,                0.36766,                0.63878,                0.83192,                0.98848,                      1,                  0.995,                0.59708,                0.98848,                      1,                  0.995,                0.76803,                 1.6124,                 1.0263,                 1.4728,                 1.6031,               0.001319,               0.001319,               0.001319
                     99,                0.67216,                0.52722,                0.81106,                 0.9216,                0.98848,                      1,                  0.995,                0.59708,                0.98848,                      1,                  0.995,                0.76803,                 1.6124,                 1.0263,                 1.4728,                 1.6031,              0.0013261,              0.0013261,              0.0013261
                    100,                0.96035,                 0.4878,                 1.2534,                0.92675,                0.95327,                      1,                  0.995,                0.31965,                0.95327,                      1,                  0.995,                0.60287,                 2.5423,                  4.581,                  1.988,                 2.4619,              0.0013331,              0.0013331,              0.0013331
